order_id,order_date,store_id,order_status,payment_method
ORD-0000083,2024-01-01,GOT-003,completed,klarna
ORD-0000084,2024-01-01,GOT-003,completed,card
ORD-0000085,2024-01-01,GOT-003,completed,swish
ORD-0000086,2024-01-01,GOT-003,completed,card
ORD-0000087,2024-01-01,GOT-003,completed,gift_card
ORD-0000088,2024-01-01,GOT-003,completed,gift_card
ORD-0000089,2024-01-02,ONLINE-SE,completed,gift_card
ORD-0000090,2024-01-02,ONLINE-SE,completed,klarna
ORD-0000091,2024-01-02,ONLINE-SE,completed,card
ORD-0000092,2024-01-02,ONLINE-SE,completed,klarna
ORD-0000093,2024-01-02,ONLINE-SE,completed,card
ORD-0000094,2024-01-02,ONLINE-SE,completed,klarna
ORD-0000095,2024-01-02,ONLINE-SE,completed,swish
ORD-0000096,2024-01-02,ONLINE-SE,completed,card
ORD-0000097,2024-01-02,ONLINE-SE,completed,card
ORD-0000098,2024-01-02,ONLINE-SE,completed,card
ORD-0000099,2024-01-02,ONLINE-SE,completed,klarna
ORD-0000100,2024-01-02,ONLINE-SE,completed,swish
ORD-0000101,2024-01-02,ONLINE-SE,completed,swish
ORD-0000102,2024-01-02,ONLINE-SE,completed,swish
ORD-0000103,2024-01-02,ONLINE-SE,completed,swish
ORD-0000104,2024-01-02,ONLINE-SE,completed,swish
ORD-0000105,2024-01-02,ONLINE-SE,completed,swish
ORD-0000106,2024-01-02,ONLINE-SE,completed,card
ORD-0000107,2024-01-02,ONLINE-SE,completed,card
ORD-0000108,2024-01-02,ONLINE-SE,completed,klarna
ORD-0000109,2024-01-02,ONLINE-SE,completed,card
ORD-0000110,2024-01-02,ONLINE-SE,completed,klarna
ORD-0000111,2024-01-02,STO-001,completed,card
ORD-0000112,2024-01-02,STO-001,completed,card
ORD-0000113,2024-01-02,STO-001,completed,swish
ORD-0000114,2024-01-02,STO-001,completed,gift_card
ORD-0000115,2024-01-02,STO-001,completed,swish
ORD-0000116,2024-01-02,STO-001,completed,gift_card
ORD-0000117,2024-01-02,STO-001,completed,swish
ORD-0000118,2024-01-02,STO-001,completed,card
ORD-0000119,2024-01-02,STO-001,completed,card
ORD-0000120,2024-01-02,STO-001,completed,card
ORD-0000121,2024-01-02,STO-001,cancelled,card
ORD-0000122,2024-01-02,STO-002,completed,card
ORD-0000123,2024-01-02,STO-002,completed,swish
ORD-0000124,2024-01-02,STO-002,completed,card
ORD-0000125,2024-01-02,STO-002,completed,card
ORD-0000126,2024-01-02,STO-002,completed,swish
ORD-0000127,2024-01-02,STO-002,completed,gift_card
ORD-0000128,2024-01-02,STO-002,completed,card
ORD-0000129,2024-01-02,STO-002,completed,swish
ORD-0000130,2024-01-02,STO-002,completed,swish
ORD-0000131,2024-01-02,STO-002,completed,klarna
ORD-0000132,2024-01-02,STO-003,completed,swish
ORD-0000133,2024-01-02,STO-003,completed,gift_card
ORD-0000134,2024-01-02,STO-003,completed,card
ORD-0000135,2024-01-02,STO-003,completed,swish
ORD-0000136,2024-01-02,STO-003,completed,klarna
ORD-0000137,2024-01-02,STO-003,completed,swish
ORD-0000138,2024-01-02,STO-003,completed,swish
ORD-0000139,2024-01-02,STO-003,completed,card
ORD-0000140,2024-01-02,UPP-001,completed,swish
ORD-0000141,2024-01-02,UPP-001,completed,swish
ORD-0000142,2024-01-02,UPP-001,completed,card
ORD-0000143,2024-01-02,UPP-001,completed,swish
ORD-0000144,2024-01-02,UPP-001,completed,card
ORD-0000145,2024-01-02,UPP-001,completed,card
ORD-0000146,2024-01-02,UPP-001,completed,swish
ORD-0000147,2024-01-02,UPP-001,completed,card
ORD-0000148,2024-01-02,UPP-002,completed,swish
ORD-0000149,2024-01-02,UPP-002,completed,card
ORD-0000150,2024-01-02,UPP-002,cancelled,klarna
ORD-0000151,2024-01-02,UPP-002,completed,card
ORD-0000152,2024-01-02,UPP-002,completed,gift_card
ORD-0000153,2024-01-02,UPP-002,completed,gift_card
ORD-0000154,2024-01-02,UPP-003,completed,gift_card
ORD-0000155,2024-01-02,UPP-003,completed,card
ORD-0000156,2024-01-02,UPP-003,completed,card
ORD-0000157,2024-01-02,UPP-003,completed,klarna
ORD-0000158,2024-01-02,UPP-003,completed,card
ORD-0000159,2024-01-02,GOT-001,completed,swish
ORD-0000160,2024-01-02,GOT-001,completed,swish
ORD-0000161,2024-01-02,GOT-001,completed,card
ORD-0000162,2024-01-02,GOT-001,completed,card
ORD-0000163,2024-01-02,GOT-001,completed,klarna
ORD-0000164,2024-01-02,GOT-001,completed,swish
ORD-0000165,2024-01-02,GOT-001,completed,card
ORD-0000166,2024-01-02,GOT-001,completed,card
ORD-0000167,2024-01-02,GOT-001,completed,swish
ORD-0000168,2024-01-02,GOT-001,completed,klarna
ORD-0000169,2024-01-02,GOT-001,completed,card
ORD-0000170,2024-01-02,GOT-002,completed,card
ORD-0000171,2024-01-02,GOT-002,completed,swish
ORD-0000172,2024-01-02,GOT-002,completed,swish
ORD-0000173,2024-01-02,GOT-002,completed,swish
ORD-0000174,2024-01-02,GOT-002,completed,swish
ORD-0000175,2024-01-02,GOT-002,completed,card
ORD-0000176,2024-01-02,GOT-002,completed,card
ORD-0000177,2024-01-02,GOT-002,completed,card
ORD-0000178,2024-01-02,GOT-002,completed,klarna
ORD-0000179,2024-01-02,GOT-003,completed,klarna
ORD-0000180,2024-01-02,GOT-003,completed,swish
ORD-0000181,2024-01-02,GOT-003,completed,card
ORD-0000182,2024-01-02,GOT-003,completed,card
ORD-0000183,2024-01-02,GOT-003,completed,card
ORD-0000184,2024-01-02,GOT-003,completed,card
ORD-0000185,2024-01-03,ONLINE-SE,completed,gift_card
ORD-0000186,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000187,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000188,2024-01-03,ONLINE-SE,completed,card
ORD-0000189,2024-01-03,ONLINE-SE,completed,card
ORD-0000190,2024-01-03,ONLINE-SE,completed,card
ORD-0000191,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000192,2024-01-03,ONLINE-SE,completed,card
ORD-0000193,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000194,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000195,2024-01-03,ONLINE-SE,completed,card
ORD-0000196,2024-01-03,ONLINE-SE,completed,card
ORD-0000197,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000198,2024-01-03,ONLINE-SE,completed,card
ORD-0000199,2024-01-03,ONLINE-SE,completed,card
ORD-0000200,2024-01-03,ONLINE-SE,completed,swish
ORD-0000201,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000202,2024-01-03,ONLINE-SE,completed,card
ORD-0000203,2024-01-03,ONLINE-SE,completed,gift_card
ORD-0000204,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000205,2024-01-03,ONLINE-SE,completed,swish
ORD-0000206,2024-01-03,ONLINE-SE,completed,gift_card
ORD-0000207,2024-01-03,ONLINE-SE,completed,card
ORD-0000208,2024-01-03,ONLINE-SE,completed,klarna
ORD-0000209,2024-01-03,ONLINE-SE,completed,swish
ORD-0000210,2024-01-03,ONLINE-SE,completed,card
ORD-0000211,2024-01-03,STO-001,completed,klarna
ORD-0000212,2024-01-03,STO-001,completed,card
ORD-0000213,2024-01-03,STO-001,completed,klarna
ORD-0000214,2024-01-03,STO-001,completed,card
ORD-0000215,2024-01-03,STO-001,completed,swish
ORD-0000216,2024-01-03,STO-001,completed,swish
ORD-0000217,2024-01-03,STO-001,completed,swish
ORD-0000218,2024-01-03,STO-001,completed,card
ORD-0000219,2024-01-03,STO-002,completed,swish
ORD-0000220,2024-01-03,STO-002,completed,swish
ORD-0000221,2024-01-03,STO-002,completed,card
ORD-0000222,2024-01-03,STO-002,completed,swish
ORD-0000223,2024-01-03,STO-002,completed,card
ORD-0000224,2024-01-03,STO-002,completed,gift_card
ORD-0000225,2024-01-03,STO-002,completed,swish
ORD-0000226,2024-01-03,STO-002,completed,card
ORD-0000227,2024-01-03,STO-002,completed,card
ORD-0000228,2024-01-03,STO-003,completed,klarna
ORD-0000229,2024-01-03,STO-003,completed,swish
ORD-0000230,2024-01-03,STO-003,completed,klarna
ORD-0000231,2024-01-03,STO-003,completed,klarna
ORD-0000232,2024-01-03,STO-003,completed,card
ORD-0000233,2024-01-03,STO-003,completed,card
ORD-0000234,2024-01-03,STO-003,completed,swish
ORD-0000235,2024-01-03,STO-003,completed,card
ORD-0000236,2024-01-03,UPP-001,completed,swish
ORD-0000237,2024-01-03,UPP-001,completed,swish
ORD-0000238,2024-01-03,UPP-001,completed,swish
ORD-0000239,2024-01-03,UPP-001,completed,klarna
ORD-0000240,2024-01-03,UPP-001,completed,card
ORD-0000241,2024-01-03,UPP-001,completed,card
ORD-0000242,2024-01-03,UPP-001,completed,klarna
ORD-0000243,2024-01-03,UPP-002,completed,card
ORD-0000244,2024-01-03,UPP-002,completed,card
ORD-0000245,2024-01-03,UPP-002,completed,card
ORD-0000246,2024-01-03,UPP-002,completed,card
ORD-0000247,2024-01-03,UPP-002,completed,klarna
ORD-0000248,2024-01-03,UPP-003,completed,swish
ORD-0000249,2024-01-03,UPP-003,completed,card
ORD-0000250,2024-01-03,GOT-001,completed,card
ORD-0000251,2024-01-03,GOT-001,completed,swish
ORD-0000252,2024-01-03,GOT-001,completed,card
ORD-0000253,2024-01-03,GOT-001,completed,swish
ORD-0000254,2024-01-03,GOT-001,completed,swish
ORD-0000255,2024-01-03,GOT-001,completed,card
ORD-0000256,2024-01-03,GOT-001,completed,klarna
ORD-0000257,2024-01-03,GOT-001,completed,swish
ORD-0000258,2024-01-03,GOT-001,completed,klarna
ORD-0000259,2024-01-03,GOT-002,completed,swish
ORD-0000260,2024-01-03,GOT-002,completed,card
ORD-0000261,2024-01-03,GOT-002,completed,card
ORD-0000262,2024-01-03,GOT-002,completed,card
ORD-0000263,2024-01-03,GOT-002,completed,swish
ORD-0000264,2024-01-03,GOT-002,completed,klarna
ORD-0000265,2024-01-03,GOT-002,completed,swish
ORD-0000266,2024-01-03,GOT-002,completed,swish
ORD-0000267,2024-01-03,GOT-002,completed,card
ORD-0000268,2024-01-03,GOT-002,cancelled,gift_card
ORD-0000269,2024-01-03,GOT-002,completed,card
ORD-0000270,2024-01-03,GOT-003,completed,swish
ORD-0000271,2024-01-03,GOT-003,completed,swish
ORD-0000272,2024-01-03,GOT-003,completed,card
ORD-0000273,2024-01-03,GOT-003,completed,card
ORD-0000274,2024-01-03,GOT-003,completed,swish
ORD-0000275,2024-01-04,ONLINE-SE,completed,card
ORD-0000276,2024-01-04,ONLINE-SE,completed,card
ORD-0000277,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000278,2024-01-04,ONLINE-SE,completed,gift_card
ORD-0000279,2024-01-04,ONLINE-SE,completed,swish
ORD-0000280,2024-01-04,ONLINE-SE,completed,swish
ORD-0000281,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000282,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000283,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000284,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000285,2024-01-04,ONLINE-SE,completed,card
ORD-0000286,2024-01-04,ONLINE-SE,completed,card
ORD-0000287,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000288,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000289,2024-01-04,ONLINE-SE,completed,klarna
ORD-0000290,2024-01-04,STO-001,completed,card
ORD-0000291,2024-01-04,STO-001,completed,klarna
ORD-0000292,2024-01-04,STO-001,completed,card
ORD-0000293,2024-01-04,STO-001,completed,card
ORD-0000294,2024-01-04,STO-001,completed,card
ORD-0000295,2024-01-04,STO-001,completed,swish
ORD-0000296,2024-01-04,STO-001,completed,gift_card
ORD-0000297,2024-01-04,STO-001,cancelled,card
ORD-0000298,2024-01-04,STO-001,completed,swish
ORD-0000299,2024-01-04,STO-001,completed,swish
ORD-0000300,2024-01-04,STO-001,completed,swish
ORD-0000301,2024-01-04,STO-001,completed,klarna
ORD-0000302,2024-01-04,STO-002,completed,swish
ORD-0000303,2024-01-04,STO-002,completed,card
ORD-0000304,2024-01-04,STO-002,completed,gift_card
ORD-0000305,2024-01-04,STO-002,completed,swish
ORD-0000306,2024-01-04,STO-002,completed,card
ORD-0000307,2024-01-04,STO-002,completed,card
ORD-0000308,2024-01-04,STO-002,completed,gift_card
ORD-0000309,2024-01-04,STO-002,completed,card
ORD-0000310,2024-01-04,STO-002,completed,klarna
ORD-0000311,2024-01-04,STO-002,completed,card
ORD-0000312,2024-01-04,STO-002,completed,card
ORD-0000313,2024-01-04,STO-003,completed,card
ORD-0000314,2024-01-04,STO-003,completed,card
ORD-0000315,2024-01-04,STO-003,completed,card
ORD-0000316,2024-01-04,STO-003,completed,swish
ORD-0000317,2024-01-04,STO-003,completed,swish
ORD-0000318,2024-01-04,STO-003,completed,swish
ORD-0000319,2024-01-04,STO-003,completed,klarna
ORD-0000320,2024-01-04,STO-003,completed,card
ORD-0000321,2024-01-04,UPP-001,completed,swish
ORD-0000322,2024-01-04,UPP-001,completed,swish
ORD-0000323,2024-01-04,UPP-001,completed,swish
ORD-0000324,2024-01-04,UPP-001,completed,gift_card
ORD-0000325,2024-01-04,UPP-001,completed,swish
ORD-0000326,2024-01-04,UPP-001,completed,swish
ORD-0000327,2024-01-04,UPP-001,completed,swish
ORD-0000328,2024-01-04,UPP-002,completed,card
ORD-0000329,2024-01-04,UPP-002,completed,card
ORD-0000330,2024-01-04,UPP-002,completed,card
ORD-0000331,2024-01-04,UPP-002,completed,gift_card
ORD-0000332,2024-01-04,UPP-002,completed,card
ORD-0000333,2024-01-04,UPP-002,completed,card
ORD-0000334,2024-01-04,UPP-003,completed,card
ORD-0000335,2024-01-04,UPP-003,completed,card
ORD-0000336,2024-01-04,UPP-003,completed,swish
ORD-0000337,2024-01-04,GOT-001,completed,card
ORD-0000338,2024-01-04,GOT-001,completed,swish
ORD-0000339,2024-01-04,GOT-001,completed,card
ORD-0000340,2024-01-04,GOT-001,completed,swish
ORD-0000341,2024-01-04,GOT-001,completed,card
ORD-0000342,2024-01-04,GOT-001,completed,klarna
ORD-0000343,2024-01-04,GOT-001,completed,card
ORD-0000344,2024-01-04,GOT-001,completed,card
ORD-0000345,2024-01-04,GOT-001,completed,card
ORD-0000346,2024-01-04,GOT-002,completed,swish
ORD-0000347,2024-01-04,GOT-002,completed,klarna
ORD-0000348,2024-01-04,GOT-002,completed,card
ORD-0000349,2024-01-04,GOT-002,completed,swish
ORD-0000350,2024-01-04,GOT-002,completed,klarna
ORD-0000351,2024-01-04,GOT-002,completed,swish
ORD-0000352,2024-01-04,GOT-002,completed,gift_card
ORD-0000353,2024-01-04,GOT-003,completed,card
ORD-0000354,2024-01-04,GOT-003,completed,card
ORD-0000355,2024-01-04,GOT-003,completed,card
ORD-0000356,2024-01-04,GOT-003,completed,card
ORD-0000357,2024-01-04,GOT-003,completed,swish
ORD-0000358,2024-01-04,GOT-003,completed,swish
ORD-0000359,2024-01-04,GOT-003,completed,klarna
ORD-0000360,2024-01-04,GOT-003,completed,swish
ORD-0000361,2024-01-05,ONLINE-SE,completed,card
ORD-0000362,2024-01-05,ONLINE-SE,completed,klarna
ORD-0000363,2024-01-05,ONLINE-SE,completed,klarna
ORD-0000364,2024-01-05,ONLINE-SE,completed,klarna
ORD-0000365,2024-01-05,ONLINE-SE,completed,card
ORD-0000366,2024-01-05,ONLINE-SE,completed,card
ORD-0000367,2024-01-05,ONLINE-SE,completed,swish
ORD-0000368,2024-01-05,ONLINE-SE,completed,card
ORD-0000369,2024-01-05,ONLINE-SE,completed,klarna
ORD-0000370,2024-01-05,ONLINE-SE,completed,klarna
ORD-0000371,2024-01-05,ONLINE-SE,completed,klarna
ORD-0000372,2024-01-05,ONLINE-SE,completed,card
ORD-0000373,2024-01-05,ONLINE-SE,completed,card
ORD-0000374,2024-01-05,ONLINE-SE,completed,card
ORD-0000375,2024-01-05,ONLINE-SE,completed,card
ORD-0000376,2024-01-05,ONLINE-SE,completed,card
ORD-0000377,2024-01-05,ONLINE-SE,completed,klarna
ORD-0000378,2024-01-05,ONLINE-SE,completed,swish
ORD-0000379,2024-01-05,ONLINE-SE,completed,card
ORD-0000380,2024-01-05,STO-001,completed,swish
ORD-0000381,2024-01-05,STO-001,completed,gift_card
ORD-0000382,2024-01-05,STO-001,completed,swish
ORD-0000383,2024-01-05,STO-001,completed,card
ORD-0000384,2024-01-05,STO-001,completed,card
ORD-0000385,2024-01-05,STO-001,completed,card
ORD-0000386,2024-01-05,STO-001,completed,swish
ORD-0000387,2024-01-05,STO-001,completed,swish
ORD-0000388,2024-01-05,STO-001,completed,card
ORD-0000389,2024-01-05,STO-001,completed,swish
ORD-0000390,2024-01-05,STO-001,completed,swish
ORD-0000391,2024-01-05,STO-002,completed,card
ORD-0000392,2024-01-05,STO-002,completed,swish
ORD-0000393,2024-01-05,STO-002,completed,card
ORD-0000394,2024-01-05,STO-002,completed,card
ORD-0000395,2024-01-05,STO-002,completed,gift_card
ORD-0000396,2024-01-05,STO-002,completed,card
ORD-0000397,2024-01-05,STO-002,completed,swish
ORD-0000398,2024-01-05,STO-002,completed,card
ORD-0000399,2024-01-05,STO-002,completed,gift_card
ORD-0000400,2024-01-05,STO-002,completed,swish
ORD-0000401,2024-01-05,STO-002,completed,klarna
ORD-0000402,2024-01-05,STO-003,completed,card
ORD-0000403,2024-01-05,STO-003,completed,card
ORD-0000404,2024-01-05,STO-003,completed,card
ORD-0000405,2024-01-05,STO-003,completed,gift_card
ORD-0000406,2024-01-05,STO-003,completed,card
ORD-0000407,2024-01-05,STO-003,completed,card
ORD-0000408,2024-01-05,STO-003,completed,card
ORD-0000409,2024-01-05,UPP-001,completed,swish
ORD-0000410,2024-01-05,UPP-001,completed,card
ORD-0000411,2024-01-05,UPP-001,completed,card
ORD-0000412,2024-01-05,UPP-001,completed,card
ORD-0000413,2024-01-05,UPP-001,completed,swish
ORD-0000414,2024-01-05,UPP-002,completed,swish
ORD-0000415,2024-01-05,UPP-002,completed,swish
ORD-0000416,2024-01-05,UPP-002,completed,card
ORD-0000417,2024-01-05,UPP-002,completed,swish
ORD-0000418,2024-01-05,UPP-002,completed,card
ORD-0000419,2024-01-05,UPP-003,completed,card
ORD-0000420,2024-01-05,UPP-003,completed,swish
ORD-0000421,2024-01-05,UPP-003,completed,gift_card
ORD-0000422,2024-01-05,UPP-003,completed,swish
ORD-0000423,2024-01-05,GOT-001,completed,card
ORD-0000424,2024-01-05,GOT-001,completed,card
ORD-0000425,2024-01-05,GOT-001,completed,card
ORD-0000426,2024-01-05,GOT-001,completed,klarna
ORD-0000427,2024-01-05,GOT-001,completed,swish
ORD-0000428,2024-01-05,GOT-001,completed,swish
ORD-0000429,2024-01-05,GOT-001,completed,card
ORD-0000430,2024-01-05,GOT-002,completed,gift_card
ORD-0000431,2024-01-05,GOT-002,completed,swish
ORD-0000432,2024-01-05,GOT-002,completed,card
ORD-0000433,2024-01-05,GOT-002,completed,card
ORD-0000434,2024-01-05,GOT-002,completed,card
ORD-0000435,2024-01-05,GOT-002,completed,swish
ORD-0000436,2024-01-05,GOT-002,completed,card
ORD-0000437,2024-01-05,GOT-002,completed,card
ORD-0000438,2024-01-05,GOT-003,completed,card
ORD-0000439,2024-01-05,GOT-003,completed,gift_card
ORD-0000440,2024-01-05,GOT-003,completed,card
ORD-0000441,2024-01-05,GOT-003,completed,gift_card
ORD-0000442,2024-01-05,GOT-003,completed,swish
ORD-0000443,2024-01-05,GOT-003,completed,card
ORD-0000444,2024-01-05,GOT-003,completed,klarna
ORD-0000445,2024-01-05,GOT-003,completed,card
ORD-0000446,2024-01-06,ONLINE-SE,completed,swish
ORD-0000447,2024-01-06,ONLINE-SE,completed,card
ORD-0000448,2024-01-06,ONLINE-SE,completed,swish
ORD-0000449,2024-01-06,ONLINE-SE,completed,gift_card
ORD-0000450,2024-01-06,ONLINE-SE,completed,klarna
ORD-0000451,2024-01-06,ONLINE-SE,completed,gift_card
ORD-0000452,2024-01-06,ONLINE-SE,completed,card
ORD-0000453,2024-01-06,ONLINE-SE,completed,card
ORD-0000454,2024-01-06,ONLINE-SE,completed,card
ORD-0000455,2024-01-06,ONLINE-SE,completed,card
ORD-0000456,2024-01-06,ONLINE-SE,completed,klarna
ORD-0000457,2024-01-06,ONLINE-SE,completed,card
ORD-0000458,2024-01-06,ONLINE-SE,completed,swish
ORD-0000459,2024-01-06,ONLINE-SE,completed,card
ORD-0000460,2024-01-06,ONLINE-SE,completed,klarna
ORD-0000461,2024-01-06,ONLINE-SE,completed,klarna
ORD-0000462,2024-01-06,ONLINE-SE,completed,swish
ORD-0000463,2024-01-06,ONLINE-SE,completed,swish
ORD-0000464,2024-01-06,ONLINE-SE,completed,swish
ORD-0000465,2024-01-06,ONLINE-SE,completed,klarna
ORD-0000466,2024-01-06,STO-001,completed,card
ORD-0000467,2024-01-06,STO-001,completed,klarna
ORD-0000468,2024-01-06,STO-001,completed,klarna
ORD-0000469,2024-01-06,STO-001,completed,card
ORD-0000470,2024-01-06,STO-001,completed,card
ORD-0000471,2024-01-06,STO-001,completed,card
ORD-0000472,2024-01-06,STO-001,completed,card
ORD-0000473,2024-01-06,STO-001,completed,swish
ORD-0000474,2024-01-06,STO-001,completed,swish
ORD-0000475,2024-01-06,STO-001,cancelled,klarna
ORD-0000476,2024-01-06,STO-002,completed,klarna
ORD-0000477,2024-01-06,STO-002,completed,card
ORD-0000478,2024-01-06,STO-002,completed,swish
ORD-0000479,2024-01-06,STO-002,completed,card
ORD-0000480,2024-01-06,STO-002,completed,swish
ORD-0000481,2024-01-06,STO-002,completed,klarna
ORD-0000482,2024-01-06,STO-002,completed,swish
ORD-0000483,2024-01-06,STO-002,completed,card
ORD-0000484,2024-01-06,STO-002,completed,card
ORD-0000485,2024-01-06,STO-002,completed,swish
ORD-0000486,2024-01-06,STO-002,completed,card
ORD-0000487,2024-01-06,STO-002,completed,swish
ORD-0000488,2024-01-06,STO-002,completed,card
ORD-0000489,2024-01-06,STO-002,completed,gift_card
ORD-0000490,2024-01-06,STO-003,completed,card
ORD-0000491,2024-01-06,STO-003,completed,klarna
ORD-0000492,2024-01-06,STO-003,completed,klarna
ORD-0000493,2024-01-06,STO-003,completed,card
ORD-0000494,2024-01-06,STO-003,completed,card
ORD-0000495,2024-01-06,STO-003,completed,gift_card
ORD-0000496,2024-01-06,STO-003,completed,card
ORD-0000497,2024-01-06,STO-003,completed,card
ORD-0000498,2024-01-06,STO-003,completed,card
ORD-0000499,2024-01-06,STO-003,completed,swish
ORD-0000500,2024-01-06,UPP-001,completed,swish
ORD-0000501,2024-01-06,UPP-001,completed,card
ORD-0000502,2024-01-06,UPP-001,completed,klarna
ORD-0000503,2024-01-06,UPP-001,completed,card
ORD-0000504,2024-01-06,UPP-001,completed,gift_card
ORD-0000505,2024-01-06,UPP-001,completed,klarna
ORD-0000506,2024-01-06,UPP-001,completed,swish
ORD-0000507,2024-01-06,UPP-002,completed,card
ORD-0000508,2024-01-06,UPP-002,cancelled,swish
ORD-0000509,2024-01-06,UPP-002,completed,card
ORD-0000510,2024-01-06,UPP-002,completed,card
ORD-0000511,2024-01-06,UPP-002,completed,card
ORD-0000512,2024-01-06,UPP-002,completed,card
